mascota_id,mascota_nombre,animal,Passengerid,crew_id,Survived
1,"Freu Freu",perro,485,0,0
2,pomenario,perro,514,0,1
3,Lady,perro,311,0,1
4,Chow-Chow,perro,461,0,0
5,"fox terrier",perro,0,0,0
6,"Gamin de Pycombe",perro,608,0,0
7,"Sun Yat-Sen",perro,646,0,1
8,"airedale terrier",perro,391,0,0
9,"cavalier king charles spaniel",perro,391,0,0
10,Kitty,perro,701,0,0
11,"Dogo alemán",perro,178,0,0
